smiles,IE
OCc1cn(Cc2ccccc2)nn1,89.3
OCc1cn(Cc2ccncc2)nn1,90.2
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],93.46
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],94.18
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],95.04
NC(=O)c1ccc(/N=C/c2cccs2)cc1,88.0
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,73.27
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,76.1
COc1ccc(N)c([N+](=O)[O-])c1,86.1
CNc1ccc(OC)cc1,82.7
COc1ccc(C=O)cc1Br,81.9
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,86.5
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,81.4
CCOC(=O)C1=C(c2ccccc2)C(C#N)=C(N)OC1C,68.0
CC(=O)c1c(O)cc(C)oc1=O,80.6
NCc1ccc(O)c2ncccc12,87.1
CC(=O)NCc1ccc(O)c2ncccc12,91.9
CN(C)Cc1ccc(O)c2ncccc12,92.8
O=S(=O)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,97.6
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,95.8
CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,89.1
Oc1ccc(COCc2ccccc2)c2cccnc12,94.2
CCN(CC)CCOCc1ccc(O)c2ncccc12,93.7
Oc1ccccc1/C=N/c1ccccc1O,80.0
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,85.0
COc1ccc(O)c(/C=N/c2ccccc2O)c1,91.0
C=CCSc1nc2ccccc2[nH]1,93.7
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,97.1
CCCCCCn1cc[n+](C)c1.[I-],92.4
CCCCn1cc[n+](C)c1.[I-],82.4
CCCn1cc[n+](C)c1.[I-],77.4
CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,92.5
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],91.9
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],85.03
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],91.27
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],94.01
O=C(C[n+]1ccccn1)c1ccc(Cl)cc1.[Br-],91.0
Nc1ccc2sc3ccc(N)cc3c2c1,89.5
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,86.4
Oc1ccccc1C=Nc1ccccc1O,88.0
Cc1ccccc1N=Cc1ccccc1O,93.0
COc1ccccc1N=Cc1ccccc1O,85.0
O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,94.5
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,93.6
c1ccc(N(CC2CO2)CC2CO2)cc1,96.3
Clc1ncc[nH]1,47.7
CC(=O)c1ccc(-n2ccnc2)cc1,70.5
Nc1ccc(-n2ccnc2)cc1,66.2
O=Cc1ccc(-n2ccnc2)cc1,72.2
Brc1ccc(-n2ccnc2)cc1,56.4
Clc1ccc(-n2ccnc2)cc1,51.3
Oc1ccc(-n2ccnc2)cc1,78.4
Clc1cccc(-n2ccnc2)c1,57.2
Clc1ccccc1-n1ccnc1,51.9
ClCc1nc2ccccc2[nH]1,81.0
Brc1ccc2nc[nH]c2c1,60.7
Nc1ccc2nc[nH]c2c1,62.6
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,91.03
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,81.14
